1	0	2
2	1	9
3	2	3
4	3	2
5	4	9
6	5	2
7	6	1
8	7	2
9	8	2
10	9	1
11	10	3
12	11	6
13	12	6
14	13	2
15	14	9
16	15	9
17	16	6
18	17	9
19	18	3
20	19	2
21	20	6
22	21	6
23	22	6
24	23	9
25	24	2
26	25	9
27	26	2
28	27	3
29	28	6
30	29	6
31	30	9
32	31	9
33	32	6
34	33	2
35	34	6
36	35	9
37	36	9
38	37	9
39	38	1
40	39	1
41	40	3
42	41	6
43	42	6
44	43	6
45	44	6
46	45	3
47	46	6
48	47	9
49	48	3
50	49	9
51	50	6
52	51	9
53	52	6
54	53	2
55	54	6
56	55	1
57	56	3
58	57	9
59	58	3
60	59	9
61	60	1
62	61	3
63	62	6
64	63	9
65	64	3
66	65	9
67	66	2
68	67	2
69	68	3
70	69	3
71	70	9
72	71	1
73	72	2
74	73	9
75	74	9
76	75	2
77	76	6
78	77	2
79	78	6
80	79	3
81	80	1
82	81	2
83	82	6
84	83	3
85	84	9
86	85	1
87	86	2
88	87	2
89	88	1
90	89	3
91	90	2
92	91	3
93	92	6
94	93	3
95	94	9
96	95	6
97	96	1
98	97	9
99	98	3
100	99	1
