TaskID ArrivalTime ServiceTime StartingTime FinishingTime TurnAroundTime WeightTurnAround
1			0			6			0			6			6			1.0
2			1			1			1			2			1			1.0
3			2			1			2			3			1			1.0
4			3			1			3			4			1			1.0
5			4			1			4			5			1			1.0
6			5			9			5			14			9			1.0
7			6			1			6			7			1			1.0
8			7			3			7			10			3			1.0
9			8			9			10			19			11			1.2222222222222223
10			9			3			14			17			8			2.6666666666666665
11			10			1			17			18			8			8.0
12			11			3			18			21			10			3.3333333333333335
13			12			6			19			25			13			2.1666666666666665
14			13			1			21			22			9			9.0
15			14			2			22			24			10			5.0
16			15			3			24			27			12			4.0
17			16			9			25			34			18			2.0
18			17			2			27			29			12			6.0
19			18			6			29			35			17			2.8333333333333335
20			19			1			34			35			16			16.0
21			20			6			35			41			21			3.5
22			21			3			35			38			17			5.666666666666667
23			22			1			38			39			17			17.0
24			23			6			39			45			22			3.6666666666666665
25			24			2			41			43			19			9.5
26			25			9			43			52			27			3.0
27			26			9			45			54			28			3.111111111111111
28			27			6			52			58			31			5.166666666666667
29			28			1			54			55			27			27.0
30			29			6			55			61			32			5.333333333333333
31			30			6			58			64			34			5.666666666666667
32			31			2			61			63			32			16.0
33			32			1			63			64			32			32.0
34			33			3			64			67			34			11.333333333333334
35			34			2			64			66			32			16.0
36			35			2			66			68			33			16.5
37			36			2			67			69			33			16.5
38			37			2			68			70			33			16.5
39			38			1			69			70			32			32.0
40			39			6			70			76			37			6.166666666666667
41			40			3			70			73			33			11.0
42			41			3			73			76			35			11.666666666666666
43			42			9			76			85			43			4.777777777777778
44			43			1			76			77			34			34.0
45			44			6			77			83			39			6.5
46			45			6			83			89			44			7.333333333333333
47			46			2			85			87			41			20.5
48			47			1			87			88			41			41.0
49			48			9			88			97			49			5.444444444444445
50			49			6			89			95			46			7.666666666666667
51			50			3			95			98			48			16.0
52			51			1			97			98			47			47.0
53			52			3			98			101			49			16.333333333333332
54			53			6			98			104			51			8.5
55			54			9			101			110			56			6.222222222222222
56			55			6			104			110			55			9.166666666666666
57			56			3			110			113			57			19.0
58			57			2			110			112			55			27.5
59			58			2			112			114			56			28.0
60			59			9			113			122			63			7.0
61			60			3			114			117			57			19.0
62			61			1			117			118			57			57.0
63			62			9			118			127			65			7.222222222222222
64			63			1			122			123			60			60.0
65			64			9			123			132			68			7.555555555555555
66			65			2			127			129			64			32.0
67			66			3			129			132			66			22.0
68			67			2			132			134			67			33.5
69			68			3			132			135			67			22.333333333333332
70			69			9			134			143			74			8.222222222222221
71			70			3			135			138			68			22.666666666666668
72			71			2			138			140			69			34.5
73			72			1			140			141			69			69.0
74			73			9			141			150			77			8.555555555555555
75			74			2			143			145			71			35.5
76			75			6			145			151			76			12.666666666666666
77			76			2			150			152			76			38.0
78			77			1			151			152			75			75.0
79			78			2			152			154			76			38.0
80			79			2			152			154			75			37.5
81			80			9			154			163			83			9.222222222222221
82			81			9			154			163			82			9.11111111111111
83			82			2			163			165			83			41.5
84			83			3			163			166			83			27.666666666666668
85			84			6			165			171			87			14.5
86			85			9			166			175			90			10.0
87			86			1			171			172			86			86.0
88			87			6			172			178			91			15.166666666666666
89			88			9			175			184			96			10.666666666666666
90			89			2			178			180			91			45.5
91			90			3			180			183			93			31.0
92			91			6			183			189			98			16.333333333333332
93			92			6			184			190			98			16.333333333333332
94			93			2			189			191			98			49.0
95			94			6			190			196			102			17.0
96			95			6			191			197			102			17.0
97			96			1			196			197			101			101.0
98			97			6			197			203			106			17.666666666666668
99			98			9			197			206			108			12.0
100			99			2			203			205			106			53.0
