1	0	6
2	1	1
3	2	1
4	3	1
5	4	1
6	5	9
7	6	1
8	7	3
9	8	9
10	9	3
11	10	1
12	11	3
13	12	6
14	13	1
15	14	2
16	15	3
17	16	9
18	17	2
19	18	6
20	19	1
21	20	6
22	21	3
23	22	1
24	23	6
25	24	2
26	25	9
27	26	9
28	27	6
29	28	1
30	29	6
31	30	6
32	31	2
33	32	1
34	33	3
35	34	2
36	35	2
37	36	2
38	37	2
39	38	1
40	39	6
41	40	3
42	41	3
43	42	9
44	43	1
45	44	6
46	45	6
47	46	2
48	47	1
49	48	9
50	49	6
51	50	3
52	51	1
53	52	3
54	53	6
55	54	9
56	55	6
57	56	3
58	57	2
59	58	2
60	59	9
61	60	3
62	61	1
63	62	9
64	63	1
65	64	9
66	65	2
67	66	3
68	67	2
69	68	3
70	69	9
71	70	3
72	71	2
73	72	1
74	73	9
75	74	2
76	75	6
77	76	2
78	77	1
79	78	2
80	79	2
81	80	9
82	81	9
83	82	2
84	83	3
85	84	6
86	85	9
87	86	1
88	87	6
89	88	9
90	89	2
91	90	3
92	91	6
93	92	6
94	93	2
95	94	6
96	95	6
97	96	1
98	97	6
99	98	9
100	99	2
